Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Census Tract 9707.02, Carteret County, North Carolina!!Female!!Estimate",,172,0,141,31,0,"1,129",4,92,239,337,224,76,157,"1,033",233,120,106,26,348,333,101,471,426,85,190,168,21,,"1,098","1,006",225,"1,047",964,192,15,11,0,8,8,8,0,0,0,0,0,0,0,0,0,8,8,0,51,42,33,,(X),(X),(X),(X),,"33,843",-,"27,938","38,254","50,435","43,594"
"Census Tract 9707.02, Carteret County, North Carolina!!Female!!Margin of Error",,±81,±13,±80,±29,±13,±181,±8,±63,±88,±138,±128,±60,±98,±177,±113,±80,±76,±33,±140,±142,±92,±105,±111,±55,±63,±57,±23,,±178,±175,±112,±183,±178,±103,±22,±19,±13,±12,±12,±12,±13,±13,±13,±13,±13,±13,±13,±13,±13,±15,±15,±13,±55,±53,±49,,(X),(X),(X),(X),,"±8,265",**,"±9,156","±4,326","±31,592","±41,141"
"Census Tract 9707.02, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,82.00%,18.00%,0.00%,(X),0.40%,8.10%,21.20%,29.80%,19.80%,6.70%,13.90%,91.50%,20.60%,(X),88.30%,21.70%,(X),95.70%,29.00%,(X),90.40%,18.00%,(X),88.40%,11.10%,,(X),91.60%,20.50%,(X),92.10%,18.30%,(X),73.30%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),82.40%,64.70%,,14.60%,0.00%,23.40%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.02, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±20.6,±18.1,±18.1,±20.6,(X),±0.7,±5.5,±7.5,±11.0,±10.4,±5.3,±8.3,±5.5,±9.6,(X),±18.6,±25.4,(X),±7.4,±24.3,(X),±10.3,±11.5,(X),±12.8,±11.5,,(X),±5.5,±9.8,(X),±5.6,±9.4,(X),±71.3,±84.9,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±37.3,±50.1,,±22.6,±15.4,±14.7,±15.7,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.03, Carteret County, North Carolina!!Total!!Estimate",,345,154,63,128,0,"3,199",49,329,715,973,513,488,132,"2,821",620,575,561,209,728,585,128,"1,033",862,154,863,813,129,,"2,771","2,480",571,"2,713","2,422",549,211,164,8,0,0,0,58,58,25,0,0,0,0,0,0,159,119,16,195,155,22,,(X),(X),(X),(X),,"37,951","32,766","38,664","26,552","45,938",-
"Census Tract 9707.03, Carteret County, North Carolina!!Total!!Margin of Error",,±110,±105,±66,±80,±13,±343,±29,±174,±213,±245,±186,±202,±98,±346,±256,±239,±238,±179,±182,±169,±97,±242,±228,±99,±224,±231,±87,,±368,±344,±253,±363,±332,±244,±89,±86,±17,±13,±13,±13,±57,±57,±40,±13,±13,±13,±13,±13,±13,±153,±117,±23,±147,±109,±35,,(X),(X),(X),(X),,"±9,624","±24,734","±3,258","±13,613","±5,701",**
"Census Tract 9707.03, Carteret County, North Carolina!!Percent!!Estimate",,(X),44.60%,18.30%,37.10%,0.00%,(X),1.50%,10.30%,22.40%,30.40%,16.00%,15.30%,4.10%,88.20%,19.40%,(X),97.60%,36.30%,(X),80.40%,17.60%,(X),83.40%,14.90%,(X),94.20%,14.90%,,(X),89.50%,20.60%,(X),89.30%,20.20%,(X),77.70%,3.80%,(X),-,-,(X),100.00%,43.10%,(X),-,-,(X),-,-,(X),74.80%,10.10%,(X),79.50%,11.30%,,0.40%,8.30%,12.70%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.03, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±24.0,±18.5,±23.8,±10.9,(X),±0.9,±5.3,±5.8,±7.0,±5.8,±6.0,±3.0,±5.2,±7.6,(X),±3.6,±22.5,(X),±12.8,±13.6,(X),±9.9,±8.9,(X),±8.1,±9.9,,(X),±4.9,±8.7,(X),±4.9,±8.6,(X),±19.0,±7.8,(X),**,**,(X),±43.2,±56.9,(X),**,**,(X),**,**,(X),±32.6,±20.0,(X),±26.5,±23.4,,±1.3,±7.7,±8.4,±6.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.03, Carteret County, North Carolina!!Male!!Estimate",,217,154,46,17,0,"1,561",34,269,334,404,239,175,106,"1,258",281,308,294,88,423,280,70,502,361,75,328,323,48,,"1,262","1,031",257,"1,240","1,009",235,206,159,8,0,0,0,0,0,0,0,0,0,0,0,0,93,68,16,93,68,22,,(X),(X),(X),(X),,"42,342",-,"40,586","41,330","48,558",-
"Census Tract 9707.03, Carteret County, North Carolina!!Male!!Margin of Error",,±95,±105,±48,±30,±13,±200,±26,±152,±119,±141,±134,±96,±95,±225,±141,±126,±123,±93,±120,±110,±55,±131,±129,±58,±140,±140,±46,,±213,±227,±138,±207,±211,±127,±89,±86,±17,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±88,±65,±23,±80,±56,±35,,(X),(X),(X),(X),,"±10,195",**,"±11,010","±13,978","±9,781",**
"Census Tract 9707.03, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),71.00%,21.20%,7.80%,0.00%,(X),2.20%,17.20%,21.40%,25.90%,15.30%,11.20%,6.80%,80.60%,18.00%,(X),95.50%,28.60%,(X),66.20%,16.50%,(X),71.90%,14.90%,(X),98.50%,14.60%,,(X),81.70%,20.40%,(X),81.40%,19.00%,(X),77.20%,3.90%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),73.10%,17.20%,(X),73.10%,23.70%,,0.00%,6.10%,11.00%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.03, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±28.7,±21.6,±16.7,±16.8,(X),±1.7,±9.5,±7.2,±8.4,±8.0,±6.1,±6.0,±9.6,±8.8,(X),±6.3,±25.5,(X),±20.6,±13.3,(X),±18.3,±11.4,(X),±3.5,±14.6,,(X),±10.8,±10.3,(X),±10.7,±9.9,(X),±19.5,±8.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±33.7,±29.6,(X),±33.5,±45.1,,±17.3,±11.2,±12.5,±14.2,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.03, Carteret County, North Carolina!!Female!!Estimate",,128,0,17,111,0,"1,638",15,60,381,569,274,313,26,"1,563",339,267,267,121,305,305,58,531,501,79,535,490,81,,"1,509","1,449",314,"1,473","1,413",314,5,5,0,0,0,0,58,58,25,0,0,0,0,0,0,66,51,0,102,87,0,,(X),(X),(X),(X),,"25,446",-,"38,341","18,968","45,594",-
"Census Tract 9707.03, Carteret County, North Carolina!!Female!!Margin of Error",,±70,±13,±26,±74,±13,±243,±22,±70,±151,±209,±132,±146,±26,±246,±149,±143,±143,±105,±105,±105,±48,±189,±188,±70,±131,±133,±69,,±245,±244,±144,±243,±243,±144,±10,±10,±13,±13,±13,±13,±57,±57,±40,±13,±13,±13,±13,±13,±13,±71,±59,±13,±75,±63,±13,,(X),(X),(X),(X),,"±15,550",**,"±7,112","±8,356","±19,888",**
"Census Tract 9707.03, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,13.30%,86.70%,0.00%,(X),0.90%,3.70%,23.30%,34.70%,16.70%,19.10%,1.60%,95.40%,20.70%,(X),100.00%,45.30%,(X),100.00%,19.00%,(X),94.40%,14.90%,(X),91.60%,15.10%,,(X),96.00%,20.80%,(X),95.90%,21.30%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,43.10%,(X),-,-,(X),-,-,(X),77.30%,0.00%,(X),85.30%,0.00%,,1.30%,9.70%,13.90%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.03, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±26.3,±21.3,±21.3,±26.3,(X),±1.3,±4.3,±8.3,±10.8,±8.3,±8.7,±1.6,±3.8,±8.8,(X),±13.9,±27.1,(X),±12.3,±16.4,(X),±6.2,±10.9,(X),±12.4,±13.2,,(X),±3.9,±9.6,(X),±4.0,±9.8,(X),±100.0,±100.0,(X),**,**,(X),±43.2,±56.9,(X),**,**,(X),**,**,(X),±34.1,±40.5,(X),±20.9,±31.3,,±4.6,±10.6,±11.2,±11.4,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.04, Carteret County, North Carolina!!Total!!Estimate",,238,63,110,60,5,"1,650",29,100,567,521,113,197,123,"1,521",320,138,133,18,273,228,57,583,548,73,656,612,172,,"1,566","1,471",297,"1,561","1,471",297,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,75,41,23,5,0,0,,(X),(X),(X),(X),,"32,906","22,381","34,357","33,500","39,688",-
"Census Tract 9707.04, Carteret County, North Carolina!!Total!!Margin of Error",,±85,±49,±66,±31,±11,±220,±35,±61,±126,±132,±57,±86,±56,±208,±91,±63,±60,±20,±115,±116,±51,±73,±75,±39,±167,±159,±78,,±213,±205,±88,±212,±205,±88,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±70,±36,±34,±9,±13,±13,,(X),(X),(X),(X),,"±4,972","±17,117","±20,763","±11,845","±13,733",**
"Census Tract 9707.04, Carteret County, North Carolina!!Percent!!Estimate",,(X),26.50%,46.20%,25.20%,2.10%,(X),1.80%,6.10%,34.40%,31.60%,6.80%,11.90%,7.50%,92.20%,19.40%,(X),96.40%,13.00%,(X),83.50%,20.90%,(X),94.00%,12.50%,(X),93.30%,26.20%,,(X),93.90%,19.00%,(X),94.20%,19.00%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),54.70%,30.70%,(X),0.00%,0.00%,,12.40%,6.20%,4.30%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.04, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±18.1,±18.0,±13.3,±5.0,(X),±2.1,±3.5,±5.6,±6.8,±3.4,±4.8,±3.5,±3.7,±5.2,(X),±5.9,±14.5,(X),±14.3,±18.5,(X),±5.5,±6.7,(X),±5.7,±11.5,,(X),±3.1,±5.4,(X),±3.1,±5.4,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),±15.4,±24.9,(X),±100.0,±100.0,,±14.0,±6.8,±3.5,±11.7,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.04, Carteret County, North Carolina!!Male!!Estimate",,176,63,57,56,0,901,8,45,289,320,32,122,85,848,207,78,78,5,164,119,22,293,293,40,366,358,140,,855,813,184,855,813,184,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,37,26,23,0,0,0,,(X),(X),(X),(X),,"44,688",-,"63,424","41,300","90,536",-
"Census Tract 9707.04, Carteret County, North Carolina!!Male!!Margin of Error",,±67,±49,±38,±31,±13,±135,±11,±36,±71,±91,±34,±70,±44,±128,±75,±46,±46,±7,±72,±70,±26,±38,±38,±25,±102,±100,±68,,±135,±126,±71,±135,±126,±71,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±36,±34,±34,±13,±13,±13,,(X),(X),(X),(X),,"±23,959",**,"±29,997","±15,063","±50,767",**
"Census Tract 9707.04, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),35.80%,32.40%,31.80%,0.00%,(X),0.90%,5.00%,32.10%,35.50%,3.60%,13.50%,9.40%,94.10%,23.00%,(X),100.00%,6.40%,(X),72.60%,13.40%,(X),100.00%,13.70%,(X),97.80%,38.30%,,(X),95.10%,21.50%,(X),95.10%,21.50%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),70.30%,62.20%,(X),-,-,,20.80%,8.70%,0.00%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.04, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±24.4,±17.0,±14.6,±20.2,(X),±1.2,±3.8,±7.5,±8.5,±3.7,±7.0,±4.8,±4.0,±7.1,(X),±37.2,±10.3,(X),±21.4,±15.8,(X),±12.7,±8.2,(X),±3.0,±14.7,,(X),±4.0,±7.3,(X),±4.0,±7.3,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),±44.6,±52.3,(X),**,**,,±28.2,±9.1,±10.7,±17.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.04, Carteret County, North Carolina!!Female!!Estimate",,62,0,53,4,5,749,21,55,278,201,81,75,38,673,113,60,55,13,109,109,35,290,255,33,290,254,32,,711,658,113,706,658,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,0,5,0,0,,(X),(X),(X),(X),,"25,682","20,357","19,688","28,026","27,212",-
"Census Tract 9707.04, Carteret County, North Carolina!!Female!!Margin of Error",,±59,±13,±56,±8,±11,±107,±30,±42,±106,±70,±44,±41,±39,±109,±52,±34,±33,±15,±53,±53,±30,±52,±56,±28,±92,±88,±38,,±103,±110,±52,±103,±110,±52,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±36,±11,±13,±9,±13,±13,,(X),(X),(X),(X),,"±5,410","±6,314","±12,276","±3,823","±12,943",**
"Census Tract 9707.04, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,85.50%,6.50%,8.10%,(X),2.80%,7.30%,37.10%,26.80%,10.80%,10.00%,5.10%,89.90%,15.10%,(X),91.70%,21.70%,(X),100.00%,32.10%,(X),87.90%,11.40%,(X),87.60%,11.00%,,(X),92.50%,15.90%,(X),93.20%,16.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),39.50%,0.00%,(X),0.00%,0.00%,,6.60%,3.60%,9.60%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.04, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±41.8,±26.5,±15.6,±18.5,(X),±4.0,±5.4,±11.5,±9.0,±5.8,±5.4,±5.4,±6.5,±7.4,(X),±13.6,±21.8,(X),±29.8,±27.6,(X),±10.9,±9.8,(X),±12.7,±14.4,,(X),±5.7,±7.8,(X),±5.5,±7.8,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±48.3,±53.4,(X),±100.0,±100.0,,±13.8,±5.2,±7.2,±29.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.01, Carteret County, North Carolina!!Total!!Estimate",,311,30,160,82,39,"1,978",3,130,471,506,234,346,288,"1,845",634,139,139,52,496,418,165,741,714,232,602,574,185,,"1,848","1,727",582,"1,746","1,685",582,70,58,18,7,7,7,0,0,0,0,0,0,0,0,0,53,53,27,102,42,0,,(X),(X),(X),(X),,"32,839","19,063","43,365","23,271","47,159","72,625"
"Census Tract 9708.01, Carteret County, North Carolina!!Total!!Margin of Error",,±145,±38,±97,±72,±34,±185,±7,±79,±113,±107,±102,±110,±94,±180,±138,±77,±77,±47,±140,±106,±91,±138,±141,±82,±113,±108,±63,,±194,±184,±129,±197,±194,±129,±48,±43,±22,±14,±14,±14,±13,±13,±13,±13,±13,±13,±13,±13,±13,±36,±36,±28,±104,±42,±13,,(X),(X),(X),(X),,"±6,327","±10,184","±12,569","±3,435","±8,079","±24,919"
"Census Tract 9708.01, Carteret County, North Carolina!!Percent!!Estimate",,(X),9.60%,51.40%,26.40%,12.50%,(X),0.20%,6.60%,23.80%,25.60%,11.80%,17.50%,14.60%,93.30%,32.10%,(X),100.00%,37.40%,(X),84.30%,33.30%,(X),96.40%,31.30%,(X),95.30%,30.70%,,(X),93.50%,31.50%,(X),96.50%,33.30%,(X),82.90%,25.70%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,50.90%,(X),41.20%,0.00%,,46.60%,10.00%,3.90%,7.30%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.01, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±11.3,±21.0,±19.4,±10.8,(X),±0.3,±3.9,±5.2,±5.3,±4.7,±5.6,±4.7,±4.0,±7.0,(X),±24.6,±26.7,(X),±12.4,±17.9,(X),±3.6,±9.5,(X),±4.5,±8.9,,(X),±4.2,±6.9,(X),±2.3,±6.8,(X),±25.1,±25.9,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),±45.2,±32.5,(X),±12.1,±31.3,,±32.9,±8.7,±3.2,±7.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.01, Carteret County, North Carolina!!Male!!Estimate",,187,8,109,42,28,956,3,97,269,168,140,176,103,856,279,83,83,23,211,151,76,330,303,66,332,319,114,,877,789,250,809,781,250,39,27,7,7,7,7,0,0,0,0,0,0,0,0,0,33,33,15,68,8,0,,(X),(X),(X),(X),,"33,692",-,"45,938","27,917","50,278",-
"Census Tract 9708.01, Carteret County, North Carolina!!Male!!Margin of Error",,±115,±14,±92,±47,±32,±120,±7,±70,±87,±63,±63,±62,±41,±119,±70,±53,±53,±23,±87,±65,±51,±78,±78,±30,±81,±81,±40,,±121,±116,±66,±116,±118,±66,±27,±26,±11,±14,±14,±14,±13,±13,±13,±13,±13,±13,±13,±13,±13,±28,±28,±21,±68,±13,±13,,(X),(X),(X),(X),,"±5,649",**,"±13,185","±9,079","±37,968",**
"Census Tract 9708.01, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),4.30%,58.30%,22.50%,15.00%,(X),0.30%,10.10%,28.10%,17.60%,14.60%,18.40%,10.80%,89.50%,29.20%,(X),100.00%,27.70%,(X),71.60%,36.00%,(X),91.80%,20.00%,(X),96.10%,34.30%,,(X),90.00%,28.50%,(X),96.50%,30.90%,(X),69.20%,17.90%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,45.50%,(X),11.80%,0.00%,,62.00%,0.00%,0.00%,0.40%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.01, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±7.5,±28.2,±24.3,±16.1,(X),±0.7,±7.1,±8.5,±6.4,±6.0,±6.7,±4.4,±7.3,±7.6,(X),±35.9,±26.3,(X),±25.8,±24.2,(X),±7.7,±9.5,(X),±5.1,±11.0,,(X),±7.8,±7.9,(X),±2.9,±7.8,(X),±45.5,±25.9,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),±57.3,±39.5,(X),±21.5,±39.9,,±36.1,±13.8,±12.2,±1.2,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.01, Carteret County, North Carolina!!Female!!Estimate",,124,22,51,40,11,"1,022",0,33,202,338,94,170,185,989,355,56,56,29,285,267,89,411,411,166,270,255,71,,971,938,332,937,904,332,31,31,11,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12,34,34,0,,(X),(X),(X),(X),,"25,066",-,"25,625","21,875","46,932","72,708"
"Census Tract 9708.01, Carteret County, North Carolina!!Female!!Margin of Error",,±71,±35,±36,±51,±14,±102,±13,±33,±70,±93,±59,±63,±90,±96,±100,±40,±40,±28,±78,±73,±49,±94,±94,±78,±70,±71,±36,,±111,±105,±97,±115,±110,±97,±24,±24,±19,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±20,±20,±18,±37,±37,±13,,(X),(X),(X),(X),,"±13,876",**,"±11,495","±2,514","±17,243","±22,187"
"Census Tract 9708.01, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),17.70%,41.10%,32.30%,8.90%,(X),0.00%,3.20%,19.80%,33.10%,9.20%,16.60%,18.10%,96.80%,34.70%,(X),100.00%,51.80%,(X),93.70%,31.20%,(X),100.00%,40.40%,(X),94.40%,26.30%,,(X),96.60%,34.20%,(X),96.50%,35.40%,(X),100.00%,35.50%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,60.00%,(X),100.00%,0.00%,,0.00%,23.30%,6.70%,12.70%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.01, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±25.4,±28.3,±32.5,±11.3,(X),±3.8,±3.1,±6.6,±8.5,±5.6,±6.3,±8.6,±3.1,±9.6,(X),±44.0,±31.1,(X),±9.4,±17.3,(X),±9.3,±15.9,(X),±8.0,±12.5,,(X),±3.3,±9.6,(X),±3.4,±9.6,(X),±59.1,±51.5,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±73.6,±53.4,(X),±56.4,±56.4,,±57.3,±17.9,±5.7,±12.2,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.04, Carteret County, North Carolina!!Total!!Estimate",,255,13,162,44,36,"2,848",41,113,685,660,325,538,486,"2,694","1,024",312,284,161,512,512,189,"1,255","1,169",487,769,729,187,,"2,620","2,491",923,"2,549","2,442",878,45,45,20,9,9,4,69,44,40,0,0,0,46,46,16,59,59,21,102,80,55,,(X),(X),(X),(X),,"51,813","44,760","33,421","36,292","58,856","82,569"
"Census Tract 9708.04, Carteret County, North Carolina!!Total!!Margin of Error",,±116,±17,±110,±33,±46,±273,±39,±70,±139,±144,±90,±110,±118,±273,±175,±146,±133,±117,±109,±109,±61,±183,±168,±118,±121,±121,±68,,±259,±248,±163,±268,±260,±158,±38,±38,±19,±11,±11,±6,±47,±34,±33,±13,±13,±13,±65,±65,±18,±53,±53,±23,±73,±66,±43,,(X),(X),(X),(X),,"±8,380","±26,926","±14,656","±7,525","±2,748","±24,350"
"Census Tract 9708.04, Carteret County, North Carolina!!Percent!!Estimate",,(X),5.10%,63.50%,17.30%,14.10%,(X),1.40%,4.00%,24.10%,23.20%,11.40%,18.90%,17.10%,94.60%,36.00%,(X),91.00%,51.60%,(X),100.00%,36.90%,(X),93.10%,38.80%,(X),94.80%,24.30%,,(X),95.10%,35.20%,(X),95.80%,34.40%,(X),100.00%,44.40%,(X),100.00%,44.40%,(X),63.80%,58.00%,(X),-,-,(X),100.00%,34.80%,(X),100.00%,35.60%,(X),78.40%,53.90%,,5.80%,1.30%,2.70%,3.10%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.04, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±7.9,±22.4,±13.0,±17.8,(X),±1.4,±2.4,±4.1,±4.3,±3.2,±3.6,±3.7,±2.8,±5.2,(X),±9.7,±22.9,(X),±7.5,±11.9,(X),±4.8,±6.8,(X),±5.2,±7.6,,(X),±2.7,±5.3,(X),±2.5,±5.0,(X),±49.0,±34.9,(X),±100.0,±55.6,(X),±44.1,±42.9,(X),**,**,(X),±48.5,±37.1,(X),±42.8,±33.7,(X),±28.7,±37.9,,±8.9,±1.4,±2.2,±3.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.04, Carteret County, North Carolina!!Male!!Estimate",,161,0,141,18,2,"1,410",16,99,377,312,166,192,248,"1,295",440,135,110,82,253,253,84,660,576,217,362,356,57,,"1,323","1,208",412,"1,256","1,163",367,27,27,13,4,4,4,0,0,0,0,0,0,27,27,6,29,29,5,88,66,45,,(X),(X),(X),(X),,"54,570","53,864","44,250","34,340","59,063","93,109"
"Census Tract 9708.04, Carteret County, North Carolina!!Male!!Margin of Error",,±105,±13,±106,±22,±5,±169,±18,±69,±119,±104,±74,±61,±86,±164,±110,±80,±70,±70,±78,±78,±37,±116,±107,±85,±76,±77,±31,,±159,±152,±108,±169,±162,±97,±25,±25,±21,±6,±6,±6,±13,±13,±13,±13,±13,±13,±58,±58,±9,±26,±26,±8,±72,±65,±41,,(X),(X),(X),(X),,"±6,986","±52,365","±25,978","±14,548","±35,305","±14,103"
"Census Tract 9708.04, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),0.00%,87.60%,11.20%,1.20%,(X),1.10%,7.00%,26.70%,22.10%,11.80%,13.60%,17.60%,91.80%,31.20%,(X),81.50%,60.70%,(X),100.00%,33.20%,(X),87.30%,32.90%,(X),98.30%,15.70%,,(X),91.30%,31.10%,(X),92.60%,29.20%,(X),100.00%,48.10%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,22.20%,(X),100.00%,17.20%,(X),75.00%,51.10%,,7.80%,1.90%,1.30%,1.10%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.04, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±21.8,±16.2,±15.1,±3.3,(X),±1.3,±4.8,±7.7,±6.4,±5.1,±4.4,±5.9,±4.9,±7.5,(X),±21.4,±27.9,(X),±14.6,±13.9,(X),±9.1,±11.1,(X),±1.9,±8.4,,(X),±5.1,±8.0,(X),±4.9,±7.3,(X),±63.3,±51.6,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),±63.3,±46.9,(X),±61.1,±30.4,(X),±32.7,±42.0,,±12.3,±2.5,±2.1,±1.9,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.04, Carteret County, North Carolina!!Female!!Estimate",,94,13,21,26,34,"1,438",25,14,308,348,159,346,238,"1,399",584,177,174,79,259,259,105,595,593,270,407,373,130,,"1,297","1,283",511,"1,293","1,279",511,18,18,7,5,5,0,69,44,40,0,0,0,19,19,10,30,30,16,14,14,10,,(X),(X),(X),(X),,"44,537","28,550","29,219","37,727","58,803","61,250"
"Census Tract 9708.04, Carteret County, North Carolina!!Female!!Margin of Error",,±54,±17,±21,±23,±47,±144,±37,±12,±75,±87,±64,±96,±83,±144,±115,±77,±77,±54,±48,±48,±37,±107,±106,±87,±72,±63,±54,,±133,±132,±106,±133,±132,±106,±19,±19,±9,±9,±9,±13,±47,±34,±33,±13,±13,±13,±23,±23,±16,±34,±34,±22,±14,±14,±16,,(X),(X),(X),(X),,"±9,166",±787,"±2,709","±7,533","±3,027","±12,436"
